ue_id,cell_id,drop_type
UE10722,XYZ403,Core
UE10249,XYZ406,Radio
UE10804,XYZ410,Core
UE10200,XYZ409,Core
UE10535,XYZ410,Mobility
UE10460,XYZ404,Mobility
UE10299,XYZ409,Mobility
UE10477,XYZ405,Core
UE10082,XYZ407,IMS
UE10808,XYZ403,Radio
UE10457,XYZ403,Mobility
UE10690,XYZ403,Radio
UE10297,XYZ408,Radio
UE10363,XYZ406,Core
UE10717,XYZ409,Transport
UE10039,XYZ409,Mobility
UE10815,XYZ408,IMS
UE10624,XYZ401,Mobility
UE10339,XYZ406,Radio
UE10515,XYZ404,Mobility
UE10997,XYZ404,IMS
UE10107,XYZ403,IMS
UE10315,XYZ409,Core
UE10113,XYZ402,Core
UE10166,XYZ401,IMS
UE10260,XYZ410,IMS
UE10617,XYZ403,Radio
UE10223,XYZ404,Mobility
UE10261,XYZ404,Core
UE10250,XYZ406,Radio
UE10525,XYZ401,Mobility
UE10709,XYZ401,Core
UE10125,XYZ402,Radio
UE10205,XYZ404,Core
UE10139,XYZ407,IMS
UE10061,XYZ406,Core
UE10282,XYZ409,Radio
UE10053,XYZ407,Mobility
UE10345,XYZ405,Mobility
UE10523,XYZ406,Radio
UE10135,XYZ410,Radio
UE10329,XYZ409,Radio
UE10143,XYZ401,Radio
UE10435,XYZ409,Core
UE10281,XYZ406,Mobility
UE10135,XYZ404,Core
UE10488,XYZ405,IMS
UE10812,XYZ401,Radio
UE10732,XYZ407,IMS
UE10851,XYZ408,Radio
UE10720,XYZ405,Core
UE10914,XYZ402,Core
UE10400,XYZ408,IMS
UE10870,XYZ410,IMS
UE10891,XYZ407,Core
UE10448,XYZ410,IMS
UE10634,XYZ409,IMS
UE10668,XYZ409,Core
UE10575,XYZ410,IMS
UE10080,XYZ404,Core
UE10624,XYZ401,Mobility
UE10783,XYZ403,Transport
UE10843,XYZ410,Radio
UE10785,XYZ404,Mobility
UE10641,XYZ409,Mobility
UE10568,XYZ410,Mobility
UE10368,XYZ401,Mobility
UE10402,XYZ410,Radio
UE10771,XYZ404,IMS
UE10233,XYZ407,IMS
UE10351,XYZ404,Core
UE10036,XYZ406,Radio
UE10754,XYZ402,Radio
UE10522,XYZ402,Mobility
