cell_id,cqi,prb_util,dl_tp,issue
XYZ408,5,77,77,RF
XYZ408,1,27,356,Scheduler
XYZ406,10,74,529,RF
XYZ405,3,73,833,Scheduler
XYZ409,15,21,633,Congestion
XYZ402,11,50,445,Scheduler
XYZ407,7,51,579,Scheduler
XYZ406,12,69,389,Scheduler
XYZ407,9,59,430,Scheduler
XYZ404,13,90,807,RF
XYZ409,9,92,985,Scheduler
XYZ407,15,45,902,None
XYZ402,6,57,694,Scheduler
XYZ404,3,80,863,Congestion
XYZ405,1,82,451,Congestion
XYZ402,3,17,982,Congestion
XYZ410,10,34,215,None
XYZ408,2,16,396,Scheduler
XYZ401,11,17,967,None
XYZ403,5,97,384,Backhaul
XYZ401,8,90,855,Congestion
XYZ405,5,85,663,Congestion
XYZ408,1,40,954,Backhaul
XYZ407,3,21,424,Scheduler
XYZ409,12,66,511,Congestion
XYZ402,5,75,85,RF
XYZ408,7,21,931,Scheduler
XYZ408,5,36,410,Backhaul
XYZ406,14,55,102,Congestion
XYZ403,10,16,500,None
XYZ402,5,70,796,Scheduler
XYZ408,7,67,248,Congestion
XYZ406,13,67,804,Backhaul
XYZ404,15,22,750,None
XYZ405,8,62,244,Congestion
XYZ405,14,74,132,Backhaul
XYZ409,8,58,671,Backhaul
XYZ409,7,44,204,Scheduler
XYZ408,13,26,531,Backhaul
XYZ408,14,81,192,Backhaul
XYZ402,3,76,907,RF
XYZ403,11,19,542,Backhaul
XYZ408,2,43,928,RF
XYZ405,1,95,690,Congestion
XYZ407,6,13,224,None
XYZ408,13,38,761,None
XYZ406,9,55,557,Scheduler
XYZ405,3,84,338,RF
XYZ408,5,55,178,RF
XYZ401,9,86,297,Congestion
XYZ401,14,68,921,Congestion
XYZ401,14,70,167,RF
XYZ403,9,77,797,RF
XYZ410,7,75,102,Backhaul
XYZ406,14,43,438,RF
XYZ406,4,95,557,Scheduler
XYZ405,11,14,602,None
XYZ407,2,18,568,RF
XYZ405,2,29,411,RF
XYZ402,4,30,152,RF
XYZ404,1,26,959,RF
XYZ401,14,21,657,Congestion
XYZ407,4,91,646,Backhaul
XYZ404,12,76,623,RF
XYZ404,14,14,261,Backhaul
XYZ404,11,69,470,Backhaul
XYZ403,6,62,219,RF
XYZ408,6,61,738,RF
XYZ404,7,87,136,Backhaul
XYZ408,5,57,238,Congestion
XYZ409,9,99,324,Backhaul
XYZ401,2,28,262,Congestion
XYZ404,2,26,311,Scheduler
XYZ406,4,63,995,Congestion
XYZ408,15,77,813,Scheduler
XYZ406,4,44,320,RF
XYZ406,4,97,848,Scheduler
XYZ410,1,50,703,Backhaul
XYZ404,4,22,407,Congestion
XYZ409,12,42,607,Scheduler
XYZ407,5,24,228,RF
XYZ406,9,72,333,Congestion
XYZ401,3,24,636,Backhaul
XYZ402,15,40,45,Backhaul
XYZ406,3,37,882,Congestion
XYZ401,14,19,98,Backhaul
XYZ405,5,66,147,RF
XYZ401,10,80,432,RF
XYZ403,6,42,156,Backhaul
XYZ407,3,16,353,RF
XYZ405,1,14,567,Backhaul
XYZ410,10,99,407,RF
XYZ401,8,89,590,Backhaul
XYZ401,12,66,249,Congestion
XYZ408,1,81,440,Congestion
XYZ409,2,95,143,Congestion
XYZ407,3,49,107,RF
XYZ403,6,37,868,None
XYZ406,4,45,160,RF
XYZ403,4,65,935,RF
XYZ410,15,56,804,Scheduler
XYZ404,9,80,70,Scheduler
XYZ404,6,49,586,Backhaul
XYZ403,12,68,948,Scheduler
XYZ410,2,52,424,Congestion
XYZ406,7,75,356,Scheduler
XYZ405,15,18,681,Backhaul
XYZ409,13,15,684,None
XYZ409,3,74,982,RF
XYZ403,9,12,750,Scheduler
XYZ409,6,83,750,RF
XYZ403,8,46,385,Backhaul
XYZ404,13,96,927,Congestion
XYZ401,13,42,930,Scheduler
XYZ405,1,18,999,RF
XYZ409,2,62,873,Scheduler
XYZ402,6,86,277,Congestion
XYZ404,3,60,407,Congestion
XYZ410,1,80,64,Scheduler
XYZ402,6,35,288,Congestion
XYZ408,5,25,330,RF
XYZ409,13,49,691,None
XYZ403,9,99,297,RF
XYZ409,6,60,876,Backhaul
XYZ406,5,48,494,RF
XYZ406,1,64,586,Congestion
XYZ407,15,45,164,RF
XYZ405,1,74,985,Scheduler
XYZ406,11,94,254,RF
XYZ401,1,86,710,Backhaul
XYZ403,7,99,739,Backhaul
XYZ409,6,54,155,Congestion
XYZ405,14,18,464,None
XYZ405,5,46,372,Backhaul
XYZ408,4,96,413,Congestion
XYZ402,11,10,294,Backhaul
XYZ407,14,75,403,Backhaul
XYZ409,13,72,929,Scheduler
XYZ407,13,52,342,Scheduler
XYZ405,11,37,202,Congestion
XYZ406,8,40,592,Backhaul
XYZ404,11,78,459,Backhaul
XYZ407,8,98,82,RF
XYZ401,5,17,892,Scheduler
XYZ404,15,43,746,None
XYZ403,4,58,891,Congestion
XYZ404,15,67,670,Backhaul
XYZ401,2,84,962,Congestion
XYZ402,7,56,665,Scheduler
XYZ409,5,34,53,Scheduler
XYZ407,3,12,724,RF
XYZ406,9,54,886,Scheduler
XYZ402,9,61,851,RF
XYZ401,11,43,496,Congestion
XYZ402,15,78,106,Scheduler
XYZ407,11,17,229,Scheduler
XYZ402,10,36,481,Scheduler
XYZ403,14,89,100,Congestion
XYZ408,11,72,341,Congestion
XYZ407,8,91,434,RF
XYZ409,1,34,870,Scheduler
XYZ404,12,67,209,Congestion
XYZ407,3,57,969,RF
XYZ401,2,10,879,RF
XYZ402,4,17,252,Congestion
XYZ407,2,30,411,RF
XYZ402,12,97,957,Congestion
XYZ406,11,99,188,Congestion
XYZ410,8,87,462,Backhaul
XYZ409,1,38,782,RF
XYZ405,4,39,187,RF
XYZ410,5,12,250,Backhaul
XYZ407,14,16,169,Congestion
XYZ401,10,20,683,None
XYZ408,4,41,569,Backhaul
