ue_id,cell_id,rsrp,sinr,cause
UE10026,XYZ401,-124,-10,Interference
UE10549,XYZ407,-120,-8,Post_HO
UE10195,XYZ403,-117,-8,Interference
UE10202,XYZ403,-121,17,None
UE10084,XYZ405,-106,3,None
UE10831,XYZ406,-97,9,Post_HO
UE10029,XYZ402,-105,19,None
UE10465,XYZ403,-117,15,Interference
UE10098,XYZ406,-98,11,Post_HO
UE10898,XYZ403,-118,-6,Interference
UE10189,XYZ405,-95,6,None
UE10011,XYZ409,-106,4,Interference
UE10602,XYZ403,-99,-5,Post_HO
UE10029,XYZ406,-118,3,Interference
UE10724,XYZ405,-105,3,None
UE10037,XYZ405,-98,14,Coverage
UE10852,XYZ406,-103,16,Post_HO
UE10571,XYZ406,-120,6,Interference
UE10293,XYZ401,-123,-3,Post_HO
UE10359,XYZ409,-121,-3,Interference
UE10654,XYZ405,-117,8,Coverage
UE10913,XYZ401,-119,18,None
UE10179,XYZ408,-122,-2,Interference
UE10796,XYZ407,-87,0,Interference
UE10111,XYZ407,-121,2,Coverage
UE10741,XYZ405,-115,2,Post_HO
UE10443,XYZ401,-111,16,None
UE10020,XYZ409,-92,13,Interference
UE10144,XYZ409,-113,8,Interference
UE10498,XYZ408,-119,15,None
UE10145,XYZ405,-86,10,Coverage
UE10440,XYZ403,-120,8,Post_HO
UE10886,XYZ408,-87,-6,None
UE10420,XYZ401,-96,5,Post_HO
UE10315,XYZ403,-104,-2,Coverage
UE10165,XYZ407,-101,17,Coverage
UE10651,XYZ404,-98,9,None
UE10202,XYZ407,-106,11,Interference
UE10495,XYZ405,-87,-8,Coverage
UE10755,XYZ406,-123,8,Coverage
UE10624,XYZ407,-121,-6,None
UE10467,XYZ410,-125,-3,None
UE10712,XYZ407,-111,3,None
UE10384,XYZ407,-100,13,Coverage
UE10313,XYZ407,-123,-8,Post_HO
UE10770,XYZ407,-86,13,Coverage
UE10254,XYZ403,-85,2,None
UE10958,XYZ403,-84,0,Interference
UE10916,XYZ407,-92,18,Interference
UE10022,XYZ402,-121,-3,None
UE10904,XYZ402,-95,8,Interference
UE10757,XYZ403,-113,-1,Coverage
UE10338,XYZ404,-83,18,Post_HO
UE10492,XYZ406,-125,15,Coverage
UE10822,XYZ408,-104,7,None
UE10510,XYZ410,-111,15,Coverage
UE10365,XYZ410,-100,7,Interference
UE10371,XYZ407,-108,14,Coverage
UE10914,XYZ404,-117,-4,Post_HO
UE10829,XYZ402,-125,5,Interference
UE10598,XYZ402,-83,-5,Post_HO
UE10218,XYZ404,-117,5,Post_HO
UE10474,XYZ406,-103,5,Post_HO
UE10422,XYZ403,-83,12,Coverage
UE10355,XYZ406,-81,13,Coverage
UE10459,XYZ405,-124,17,Coverage
UE10502,XYZ405,-112,-10,Coverage
UE10026,XYZ402,-88,13,Interference
UE10941,XYZ408,-86,8,Coverage
UE10801,XYZ405,-108,-8,Interference
UE10800,XYZ402,-110,-5,Post_HO
UE10859,XYZ407,-97,-7,Interference
UE10222,XYZ409,-82,-7,None
UE10863,XYZ409,-115,-7,Coverage
UE10689,XYZ401,-120,-1,None
UE10147,XYZ407,-123,-2,Interference
UE10423,XYZ409,-112,-3,Coverage
UE10738,XYZ406,-124,8,None
UE10350,XYZ401,-94,6,Coverage
UE10185,XYZ402,-95,6,Interference
UE10414,XYZ404,-115,-10,None
UE10805,XYZ404,-104,9,Interference
UE10981,XYZ402,-123,3,None
UE10428,XYZ408,-95,11,Post_HO
UE10040,XYZ402,-93,9,Post_HO
UE10904,XYZ403,-102,16,Post_HO
UE10392,XYZ404,-125,0,Post_HO
UE10702,XYZ409,-82,-8,Post_HO
UE10078,XYZ410,-111,13,Interference
UE10716,XYZ401,-89,19,Post_HO
UE10895,XYZ408,-99,-3,Interference
UE10789,XYZ405,-88,11,Post_HO
UE10783,XYZ407,-99,14,Coverage
UE10543,XYZ408,-82,17,Post_HO
UE10449,XYZ405,-114,-1,Coverage
UE10473,XYZ408,-123,6,Interference
UE10141,XYZ410,-96,18,Post_HO
UE10250,XYZ408,-94,-3,None
UE10293,XYZ409,-103,11,Interference
UE10609,XYZ402,-124,-10,Post_HO
UE10135,XYZ403,-119,9,Interference
UE10483,XYZ401,-92,10,None
UE10788,XYZ404,-94,-4,Post_HO
UE10311,XYZ405,-87,13,None
UE10813,XYZ401,-94,-2,Post_HO
UE10554,XYZ408,-83,17,Coverage
UE10631,XYZ402,-83,1,Interference
UE10731,XYZ401,-112,11,None
UE10045,XYZ402,-123,15,Interference
UE10235,XYZ405,-94,-2,None
UE10047,XYZ409,-83,9,Interference
UE10197,XYZ409,-90,13,Interference
UE10083,XYZ402,-109,-8,Interference
UE10542,XYZ402,-123,-7,Coverage
UE10160,XYZ403,-116,-1,Post_HO
UE10427,XYZ407,-86,-7,Coverage
UE10070,XYZ403,-108,11,Interference
UE10519,XYZ401,-123,-2,None
UE10968,XYZ406,-87,11,Interference
UE10897,XYZ403,-116,-10,Post_HO
UE10912,XYZ401,-117,-6,Coverage
UE10051,XYZ404,-115,-2,Post_HO
UE10044,XYZ401,-93,-6,None
UE10292,XYZ401,-90,-5,Post_HO
UE10937,XYZ402,-100,8,Coverage
UE10811,XYZ410,-99,-3,None
UE10464,XYZ408,-88,-1,Post_HO
UE10884,XYZ402,-104,0,Coverage
UE10549,XYZ402,-100,2,Coverage
UE10866,XYZ410,-104,9,Interference
UE10379,XYZ410,-121,-7,Post_HO
UE10742,XYZ408,-91,0,None
UE10477,XYZ406,-124,1,Interference
UE10261,XYZ404,-91,-6,Post_HO
UE10579,XYZ403,-117,19,Post_HO
UE10178,XYZ401,-108,-1,None
UE10356,XYZ403,-83,14,Interference
UE10418,XYZ409,-114,18,Interference
UE10697,XYZ405,-123,13,None
UE10952,XYZ406,-108,-4,Interference
UE10200,XYZ405,-88,10,Coverage
UE10901,XYZ401,-119,-2,None
UE10012,XYZ410,-93,-2,Post_HO
UE10442,XYZ401,-120,-1,None
UE10725,XYZ404,-108,-1,Coverage
UE10731,XYZ403,-81,-9,None
UE10285,XYZ408,-104,-7,Post_HO
UE10755,XYZ407,-87,-3,Post_HO
UE10867,XYZ407,-117,18,None
UE10257,XYZ408,-91,3,None
UE10569,XYZ410,-103,6,Coverage
UE10547,XYZ407,-114,2,Coverage
UE10839,XYZ410,-102,10,Post_HO
UE10940,XYZ402,-86,13,Interference
UE10489,XYZ404,-117,7,Interference
UE10497,XYZ406,-113,7,Interference
UE10904,XYZ403,-86,2,Interference
UE10893,XYZ403,-84,-3,Post_HO
UE10704,XYZ406,-109,15,Interference
UE10332,XYZ401,-119,1,Interference
UE10561,XYZ401,-109,14,None
UE10974,XYZ405,-102,12,Interference
UE10031,XYZ401,-124,13,None
UE10609,XYZ410,-91,10,Post_HO
UE10042,XYZ408,-98,-10,None
UE10892,XYZ402,-107,9,Coverage
UE10350,XYZ406,-93,7,None
UE10333,XYZ410,-105,-8,Interference
UE10821,XYZ410,-116,1,None
UE10558,XYZ405,-81,8,None
UE10269,XYZ410,-117,14,Post_HO
UE10943,XYZ404,-88,2,Post_HO
UE10822,XYZ401,-120,-1,Interference
UE10412,XYZ403,-84,4,Coverage
UE10942,XYZ404,-91,9,Coverage
UE10574,XYZ402,-108,-9,None
UE10018,XYZ402,-107,8,Coverage
UE10346,XYZ402,-121,-8,Post_HO
UE10904,XYZ401,-101,3,Interference
UE10612,XYZ410,-115,-4,Interference
UE10036,XYZ402,-116,-3,Post_HO
UE10618,XYZ406,-109,18,Interference
UE10091,XYZ403,-90,0,None
UE10819,XYZ410,-100,18,Interference
UE10184,XYZ405,-95,11,Coverage
UE10727,XYZ401,-94,9,Interference
UE10027,XYZ408,-105,-5,Interference
UE10547,XYZ404,-108,18,Post_HO
UE10371,XYZ409,-108,0,Post_HO
UE10831,XYZ404,-125,6,Coverage
UE10529,XYZ402,-112,18,Post_HO
UE10344,XYZ403,-118,-1,Coverage
UE10418,XYZ405,-124,13,None
UE10195,XYZ410,-111,6,Coverage
UE10077,XYZ406,-92,10,Interference
UE10166,XYZ407,-90,-9,Coverage
UE10089,XYZ404,-125,-5,None
UE10263,XYZ407,-105,14,Interference
UE10471,XYZ410,-84,-6,Coverage
UE10207,XYZ403,-125,-7,Post_HO
UE10723,XYZ407,-94,19,Post_HO
UE10270,XYZ404,-106,-9,Post_HO
UE10262,XYZ408,-90,1,Coverage
UE10505,XYZ409,-87,-8,Coverage
UE10784,XYZ407,-96,-5,None
UE10511,XYZ408,-119,13,Interference
UE10853,XYZ408,-104,3,Interference
UE10725,XYZ402,-81,-3,Interference
UE10885,XYZ409,-116,10,Interference
UE10575,XYZ406,-118,10,Coverage
UE10523,XYZ404,-99,15,Coverage
UE10721,XYZ405,-116,3,None
UE10311,XYZ410,-112,18,Interference
UE10173,XYZ405,-115,-8,Coverage
UE10430,XYZ407,-120,5,Coverage
UE10767,XYZ409,-105,4,Coverage
UE10462,XYZ407,-93,-4,Coverage
UE10100,XYZ409,-107,4,Interference
UE10015,XYZ404,-87,2,Interference
UE10708,XYZ410,-102,-5,Coverage
UE10257,XYZ410,-108,4,Post_HO
UE10895,XYZ404,-91,6,None
UE10243,XYZ406,-83,-7,Interference
UE10347,XYZ408,-89,11,Interference
UE10248,XYZ409,-107,16,Post_HO
UE10104,XYZ401,-102,11,Interference
UE10693,XYZ401,-92,16,Post_HO
UE10666,XYZ408,-104,3,Post_HO
UE10286,XYZ407,-122,4,Coverage
UE10168,XYZ409,-116,17,Interference
UE10419,XYZ403,-124,1,None
UE10046,XYZ410,-118,8,Post_HO
UE10042,XYZ405,-93,11,None
UE10320,XYZ403,-88,17,Coverage
UE10817,XYZ405,-83,-1,Interference
UE10220,XYZ410,-98,-5,Coverage
UE10512,XYZ401,-116,17,Coverage
UE10711,XYZ404,-81,14,None
UE10440,XYZ406,-125,-2,None
UE10143,XYZ402,-92,-9,Post_HO
UE10889,XYZ407,-123,-7,Interference
UE10027,XYZ408,-117,-2,Coverage
UE10853,XYZ401,-121,4,Post_HO
UE10849,XYZ404,-84,19,Post_HO
UE10789,XYZ404,-116,2,Coverage
UE10552,XYZ405,-114,9,Coverage
UE10843,XYZ404,-108,-3,Post_HO
UE10658,XYZ409,-105,15,Coverage
UE10856,XYZ407,-105,17,Coverage
UE10689,XYZ402,-125,8,None
UE10826,XYZ401,-123,8,Interference
UE10836,XYZ409,-121,14,Post_HO
UE10929,XYZ401,-101,5,Coverage
UE10166,XYZ406,-118,0,Post_HO
UE10634,XYZ402,-109,-1,Interference
UE10585,XYZ404,-117,-3,Post_HO
UE10750,XYZ406,-94,-10,Post_HO
UE10248,XYZ405,-120,-1,Post_HO
UE10774,XYZ406,-86,19,None
UE10763,XYZ403,-105,7,Interference
UE10356,XYZ405,-119,-8,Interference
UE10110,XYZ402,-119,19,Post_HO
UE10691,XYZ407,-87,0,Post_HO
UE10699,XYZ403,-99,7,Interference
UE10819,XYZ401,-118,-8,Coverage
UE10718,XYZ408,-117,-3,None
UE10233,XYZ408,-98,16,Interference
UE10023,XYZ403,-111,16,Post_HO
UE10025,XYZ407,-124,17,Coverage
UE10380,XYZ409,-119,3,Coverage
UE10729,XYZ408,-108,-5,Coverage
UE10345,XYZ403,-104,4,None
UE10377,XYZ402,-116,3,None
UE10521,XYZ410,-93,-4,Interference
UE10016,XYZ407,-119,-1,Interference
UE10244,XYZ407,-123,4,Interference
UE10717,XYZ409,-112,18,Interference
UE10769,XYZ405,-82,-1,Post_HO
UE10623,XYZ404,-90,11,None
UE10716,XYZ408,-113,6,Coverage
UE10538,XYZ404,-110,16,Post_HO
UE10968,XYZ404,-110,8,Interference
UE10582,XYZ402,-121,18,Interference
UE10687,XYZ401,-101,6,Post_HO
UE10201,XYZ404,-88,1,Coverage
UE10247,XYZ407,-88,4,None
UE10117,XYZ409,-88,15,None
UE10008,XYZ409,-87,1,Coverage
UE10597,XYZ410,-85,14,None
UE10022,XYZ401,-100,18,Interference
UE10966,XYZ405,-113,-2,Interference
UE10239,XYZ407,-82,-6,Interference
UE10584,XYZ407,-100,-7,Interference
UE10026,XYZ410,-125,1,Coverage
UE10983,XYZ406,-118,5,None
UE10860,XYZ410,-122,-2,None
UE10080,XYZ404,-105,14,Post_HO
UE10595,XYZ403,-104,-8,Coverage
UE10198,XYZ409,-89,10,None
UE10554,XYZ410,-123,-8,None
UE10999,XYZ404,-107,15,Post_HO
UE10774,XYZ408,-125,7,Interference
UE10091,XYZ401,-97,6,None
UE10850,XYZ407,-103,17,Interference
UE10958,XYZ406,-93,-1,Post_HO
UE10083,XYZ401,-85,-9,None
UE10299,XYZ404,-103,13,Interference
UE10934,XYZ405,-121,0,Coverage
UE10295,XYZ408,-119,13,Interference
UE10646,XYZ404,-120,-8,Interference
UE10453,XYZ403,-104,12,Interference
UE10280,XYZ402,-113,12,Interference
UE10058,XYZ404,-114,-9,Coverage
UE10908,XYZ410,-122,-2,Post_HO
UE10870,XYZ404,-118,8,Interference
UE10999,XYZ410,-89,-9,Interference
UE10341,XYZ405,-95,17,None
UE10752,XYZ407,-89,8,None
UE10464,XYZ409,-81,-9,Coverage
UE10879,XYZ402,-100,4,Coverage
UE10341,XYZ405,-83,13,Coverage
UE10609,XYZ410,-118,10,None
UE10061,XYZ409,-86,-8,Interference
