ue_id,cell_id,rsrp,rsrq,sinr,drop_type
UE12499,XYZ410,-86.6,-8.1,21.3,Core
UE12500,XYZ401,-117.4,-12.2,-0.6,Mobility
UE12501,XYZ402,-118.8,-14.7,0.1,None
UE12502,XYZ403,-122.8,-13.9,-4.8,Radio
UE12503,XYZ404,-104.2,-13.7,-4.2,None
UE12504,XYZ405,-109.4,-10.1,2.5,Radio
UE12505,XYZ406,-111.4,-9.0,16.0,Transport
UE12506,XYZ407,-103.6,-11.1,12.9,None
UE12507,XYZ408,-102.6,-12.1,13.7,Core
UE12508,XYZ409,-92.3,-9.7,19.0,None
UE12509,XYZ410,-91.9,-6.1,25.9,None
UE12510,XYZ401,-118.9,-12.6,1.8,Mobility
UE12511,XYZ402,-129.0,-13.3,5.0,Core
UE12512,XYZ403,-115.5,-13.0,2.7,Radio
UE12513,XYZ404,-109.2,-11.0,-1.8,None
UE12514,XYZ405,-107.7,-12.8,6.6,IMS
UE12515,XYZ406,-104.7,-9.6,13.4,None
UE12516,XYZ407,-105.7,-11.1,6.1,None
UE12517,XYZ408,-98.4,-9.1,14.0,None
UE12518,XYZ409,-89.7,-7.1,14.7,None
UE12519,XYZ410,-90.0,-6.4,24.1,None
UE12520,XYZ401,-130.5,-15.7,-1.3,IMS
UE12521,XYZ402,-112.7,-11.9,10.0,None
UE12522,XYZ403,-118.3,-12.5,1.8,Mobility
UE12523,XYZ404,-110.7,-11.6,5.2,None
UE12524,XYZ405,-111.1,-11.7,4.7,IMS
UE12525,XYZ406,-97.6,-10.8,1.8,None
UE12526,XYZ407,-106.9,-12.0,5.0,None
UE12527,XYZ408,-103.6,-9.5,7.8,None
UE12528,XYZ409,-92.0,-7.4,19.2,None
UE12529,XYZ410,-82.8,-7.5,24.3,None
UE12530,XYZ401,-122.4,-12.9,4.9,Core
UE12531,XYZ402,-108.6,-12.4,-3.0,Transport
UE12532,XYZ403,-112.2,-11.8,-4.0,IMS
UE12533,XYZ404,-115.3,-11.6,3.9,None
UE12534,XYZ405,-115.3,-12.0,3.3,Core
UE12535,XYZ406,-102.3,-12.6,6.7,None
UE12536,XYZ407,-104.0,-15.0,0.9,None
UE12537,XYZ408,-103.3,-12.6,6.0,None
UE12538,XYZ409,-94.7,-7.4,13.5,None
UE12539,XYZ410,-88.3,-6.7,26.0,None
UE12540,XYZ401,-115.5,-14.3,-3.7,IMS
UE12541,XYZ402,-113.3,-10.9,-1.8,Radio
UE12542,XYZ403,-116.0,-12.8,2.3,None
UE12543,XYZ404,-117.8,-10.8,3.0,Core
UE12544,XYZ405,-108.4,-9.4,-3.8,None
UE12545,XYZ406,-109.5,-10.8,4.4,None
UE12546,XYZ407,-108.3,-10.9,9.2,None
UE12547,XYZ408,-109.1,-8.9,11.9,None
UE12548,XYZ409,-84.6,-8.5,14.9,None
UE12549,XYZ410,-88.3,-7.4,17.7,None
UE12550,XYZ401,-125.5,-13.6,-0.4,Transport
UE12551,XYZ402,-122.6,-11.9,4.9,IMS
UE12552,XYZ403,-122.0,-11.7,7.2,Mobility
UE12553,XYZ404,-115.7,-12.4,-1.1,Core
UE12554,XYZ405,-109.8,-13.0,-0.9,Radio
UE12555,XYZ406,-100.9,-11.5,9.0,None
UE12556,XYZ407,-101.2,-9.1,13.8,None
UE12557,XYZ408,-106.2,-10.5,9.4,Core
UE12558,XYZ409,-89.1,-9.9,17.3,None
UE12559,XYZ410,-85.7,-8.7,19.2,None
UE12560,XYZ401,-108.7,-13.4,-11.3,Mobility
UE12561,XYZ402,-112.9,-13.0,8.6,None
UE12562,XYZ403,-111.0,-12.9,2.8,IMS
UE12563,XYZ404,-108.6,-12.1,15.0,Core
UE12564,XYZ405,-112.8,-12.0,-3.2,None
UE12565,XYZ406,-99.7,-10.0,2.9,None
UE12566,XYZ407,-106.3,-14.2,2.2,None
UE12567,XYZ408,-98.7,-10.2,17.5,None
UE12568,XYZ409,-90.0,-9.8,14.9,None
UE12569,XYZ410,-89.9,-9.6,18.4,None
UE12570,XYZ401,-129.0,-15.2,-9.8,Mobility
UE12571,XYZ402,-113.9,-14.5,-0.9,Transport
UE12572,XYZ403,-116.4,-11.9,15.8,Mobility
UE12573,XYZ404,-104.6,-12.8,3.7,None
UE12574,XYZ405,-106.3,-12.4,-1.1,None
UE12575,XYZ406,-100.7,-9.4,10.4,Core
UE12576,XYZ407,-104.4,-9.5,9.8,Transport
UE12577,XYZ408,-103.8,-11.7,13.1,Core
UE12578,XYZ409,-90.3,-9.6,16.8,None
UE12579,XYZ410,-90.0,-9.6,17.6,None
UE12580,XYZ401,-122.9,-11.9,1.3,Mobility
UE12581,XYZ402,-108.1,-9.8,5.5,Mobility
UE12582,XYZ403,-115.7,-15.4,-7.5,None
UE12583,XYZ404,-107.4,-13.3,-7.2,None
UE12584,XYZ405,-112.4,-10.8,2.0,Radio
UE12585,XYZ406,-104.4,-8.4,19.5,None
UE12586,XYZ407,-100.4,-10.0,14.4,None
UE12587,XYZ408,-101.1,-11.9,10.0,Radio
UE12588,XYZ409,-93.7,-8.4,19.3,None
UE12589,XYZ410,-88.9,-9.1,21.6,None
UE12590,XYZ401,-115.7,-11.9,10.1,Radio
UE12591,XYZ402,-115.3,-12.5,-3.7,None
UE12592,XYZ403,-113.3,-9.2,14.3,Mobility
UE12593,XYZ404,-120.3,-14.6,-1.3,None
UE12594,XYZ405,-107.3,-10.6,0.0,None
UE12595,XYZ406,-107.1,-12.3,2.8,Transport
UE12596,XYZ407,-106.5,-11.4,11.3,None
UE12597,XYZ408,-99.3,-11.0,9.6,None
UE12598,XYZ409,-85.7,-8.8,17.7,None
UE12599,XYZ410,-87.3,-7.2,21.8,None
UE12600,XYZ401,-115.0,-13.4,-4.4,Radio
UE12601,XYZ402,-118.3,-13.6,-1.4,None
UE12602,XYZ403,-117.0,-12.4,0.9,None
UE12603,XYZ404,-104.7,-9.8,7.5,IMS
UE12604,XYZ405,-116.9,-11.0,13.3,None
UE12605,XYZ406,-108.3,-11.2,8.7,IMS
UE12606,XYZ407,-103.9,-12.5,7.6,None
UE12607,XYZ408,-98.5,-9.8,7.0,None
UE12608,XYZ409,-97.5,-11.0,14.0,None
UE12609,XYZ410,-88.1,-10.8,21.3,None
UE12610,XYZ401,-113.7,-12.0,-6.9,Core
UE12611,XYZ402,-121.3,-14.0,-5.3,Mobility
UE12612,XYZ403,-110.4,-13.8,1.3,Transport
UE12613,XYZ404,-121.6,-14.8,-4.7,Transport
UE12614,XYZ405,-103.0,-11.6,7.2,None
UE12615,XYZ406,-112.7,-16.1,3.8,None
UE12616,XYZ407,-102.3,-11.3,14.8,None
UE12617,XYZ408,-99.7,-10.6,4.2,None
UE12618,XYZ409,-92.2,-10.6,14.8,None
UE12619,XYZ410,-87.0,-9.5,24.7,None
UE12620,XYZ401,-124.8,-15.8,-3.1,Mobility
UE12621,XYZ402,-117.6,-12.5,2.5,Core
UE12622,XYZ403,-116.5,-11.2,0.4,Radio
UE12623,XYZ404,-109.8,-13.4,-2.7,Mobility
UE12624,XYZ405,-105.5,-12.2,3.8,None
UE12625,XYZ406,-100.2,-9.0,12.3,None
UE12626,XYZ407,-103.1,-9.5,10.3,Radio
UE12627,XYZ408,-106.3,-9.7,4.4,None
UE12628,XYZ409,-92.5,-8.7,13.8,None
UE12629,XYZ410,-91.8,-8.4,16.9,None
UE12630,XYZ401,-115.6,-15.0,-5.6,Core
UE12631,XYZ402,-108.2,-14.5,-2.7,None
UE12632,XYZ403,-114.7,-17.1,-15.5,Mobility
UE12633,XYZ404,-112.1,-12.1,-3.1,None
UE12634,XYZ405,-102.7,-10.0,3.0,None
UE12635,XYZ406,-102.0,-10.4,7.6,None
UE12636,XYZ407,-102.8,-11.2,10.8,None
UE12637,XYZ408,-98.0,-9.8,6.0,None
UE12638,XYZ409,-88.1,-9.8,16.1,Core
UE12639,XYZ410,-87.7,-8.9,20.9,None
UE12640,XYZ401,-120.0,-12.7,-0.6,Mobility
UE12641,XYZ402,-114.2,-12.9,-1.9,Radio
UE12642,XYZ403,-117.7,-13.8,-7.5,Radio
UE12643,XYZ404,-120.4,-11.9,-6.2,None
UE12644,XYZ405,-112.3,-11.3,7.6,None
UE12645,XYZ406,-110.0,-10.6,18.0,None
UE12646,XYZ407,-111.7,-10.0,9.4,IMS
UE12647,XYZ408,-102.2,-9.4,19.9,Core
UE12648,XYZ409,-89.3,-7.7,13.4,None
UE12649,XYZ410,-89.5,-10.0,17.3,None
UE12650,XYZ401,-113.0,-11.2,3.0,Radio
UE12651,XYZ402,-104.5,-12.4,-3.7,None
UE12652,XYZ403,-120.5,-12.2,6.7,None
UE12653,XYZ404,-106.1,-11.7,-1.5,None
UE12654,XYZ405,-103.4,-11.7,9.3,None
UE12655,XYZ406,-111.4,-12.8,7.1,None
UE12656,XYZ407,-100.9,-10.9,2.4,Core
UE12657,XYZ408,-106.3,-10.1,12.6,IMS
UE12658,XYZ409,-96.3,-9.3,9.0,Radio
UE12659,XYZ410,-89.4,-8.5,24.1,None
UE12660,XYZ401,-116.0,-14.1,-4.2,Mobility
UE12661,XYZ402,-112.6,-12.9,6.8,None
UE12662,XYZ403,-117.5,-13.1,-3.0,None
UE12663,XYZ404,-120.8,-13.0,-5.6,None
UE12664,XYZ405,-105.4,-10.1,5.8,None
UE12665,XYZ406,-106.8,-12.0,5.4,Core
UE12666,XYZ407,-102.6,-8.6,9.7,None
UE12667,XYZ408,-103.9,-9.8,14.6,None
UE12668,XYZ409,-92.6,-9.4,16.5,None
UE12669,XYZ410,-86.1,-9.2,20.9,None
UE12670,XYZ401,-115.5,-12.2,3.3,Mobility
UE12671,XYZ402,-116.1,-13.0,-2.4,IMS
UE12672,XYZ403,-116.0,-14.1,-5.0,Transport
UE12673,XYZ404,-103.1,-12.0,0.2,Core
UE12674,XYZ405,-109.7,-13.0,7.4,None
UE12675,XYZ406,-107.5,-9.7,14.3,None
UE12676,XYZ407,-105.7,-10.7,9.6,Mobility
UE12677,XYZ408,-106.8,-10.6,12.4,None
UE12678,XYZ409,-92.3,-9.0,19.2,None
UE12679,XYZ410,-89.4,-10.4,17.9,None
UE12680,XYZ401,-111.1,-13.1,6.7,Radio
UE12681,XYZ402,-111.3,-12.5,2.4,None
UE12682,XYZ403,-109.8,-11.9,-2.6,None
UE12683,XYZ404,-113.4,-11.5,9.8,Radio
UE12684,XYZ405,-108.2,-14.0,1.6,None
UE12685,XYZ406,-111.1,-10.1,14.1,None
UE12686,XYZ407,-107.5,-11.6,7.5,None
UE12687,XYZ408,-105.2,-12.2,13.3,Transport
UE12688,XYZ409,-92.1,-9.8,17.2,None
UE12689,XYZ410,-89.2,-7.4,19.0,None
UE12690,XYZ401,-118.4,-12.6,-1.9,Core
UE12691,XYZ402,-125.8,-13.9,5.4,None
UE12692,XYZ403,-110.7,-14.5,-5.4,Core
UE12693,XYZ404,-110.1,-10.7,9.0,Radio
UE12694,XYZ405,-105.8,-13.6,0.8,None
UE12695,XYZ406,-107.2,-12.7,0.3,None
UE12696,XYZ407,-103.2,-8.8,5.5,None
UE12697,XYZ408,-104.0,-10.4,13.3,None
UE12698,XYZ409,-94.1,-9.8,16.5,None
UE12699,XYZ410,-87.5,-7.6,23.4,Core
UE12700,XYZ401,-116.1,-10.8,14.4,Core
UE12701,XYZ402,-117.1,-11.6,9.3,Radio
UE12702,XYZ403,-114.2,-10.8,15.7,None
UE12703,XYZ404,-112.4,-15.3,-4.0,None
UE12704,XYZ405,-104.0,-13.3,0.7,None
UE12705,XYZ406,-109.3,-11.9,6.0,None
UE12706,XYZ407,-104.2,-9.6,18.2,Core
UE12707,XYZ408,-98.7,-9.5,14.2,None
UE12708,XYZ409,-91.1,-10.4,17.3,None
UE12709,XYZ410,-92.3,-9.0,16.9,None
UE12710,XYZ401,-128.1,-15.1,-5.4,Radio
UE12711,XYZ402,-113.2,-11.6,-4.0,Mobility
UE12712,XYZ403,-114.6,-14.6,-1.3,None
UE12713,XYZ404,-114.8,-13.4,-4.5,None
UE12714,XYZ405,-112.9,-12.1,4.0,None
UE12715,XYZ406,-103.2,-11.8,4.5,None
UE12716,XYZ407,-103.7,-11.9,7.5,None
UE12717,XYZ408,-99.9,-10.5,12.5,None
UE12718,XYZ409,-99.8,-8.1,24.3,Core
UE12719,XYZ410,-88.7,-8.6,20.5,None
UE12720,XYZ401,-117.8,-18.4,-17.1,Transport
UE12721,XYZ402,-107.1,-15.2,-10.0,None
UE12722,XYZ403,-111.2,-15.5,-2.2,Mobility
UE12723,XYZ404,-115.3,-10.8,5.2,None
UE12724,XYZ405,-106.4,-13.0,2.5,Transport
UE12725,XYZ406,-101.7,-10.2,4.7,None
UE12726,XYZ407,-109.2,-10.4,4.0,None
UE12727,XYZ408,-99.0,-11.8,11.4,None
UE12728,XYZ409,-92.1,-7.8,17.0,None
UE12729,XYZ410,-87.6,-7.7,20.5,None
UE12730,XYZ401,-107.2,-14.0,-13.7,Mobility
UE12731,XYZ402,-112.5,-12.1,-4.8,None
UE12732,XYZ403,-113.8,-11.9,1.4,Mobility
UE12733,XYZ404,-104.5,-10.6,6.0,None
UE12734,XYZ405,-107.5,-10.8,6.2,None
UE12735,XYZ406,-108.0,-10.3,10.0,None
UE12736,XYZ407,-105.3,-9.3,7.1,None
UE12737,XYZ408,-108.3,-10.7,10.6,None
UE12738,XYZ409,-93.7,-8.9,14.9,None
UE12739,XYZ410,-88.6,-9.3,19.9,None
UE12740,XYZ401,-119.8,-12.8,-7.2,Radio
UE12741,XYZ402,-123.6,-13.1,-5.7,None
UE12742,XYZ403,-109.4,-16.2,-8.4,Transport
UE12743,XYZ404,-114.3,-13.0,6.3,Radio
UE12744,XYZ405,-113.0,-11.3,8.6,None
UE12745,XYZ406,-111.4,-9.2,10.5,None
UE12746,XYZ407,-98.0,-10.1,9.2,None
UE12747,XYZ408,-97.7,-11.8,9.0,None
UE12748,XYZ409,-91.5,-7.8,10.0,None
UE12749,XYZ410,-87.8,-9.1,19.4,Core
UE12750,XYZ401,-124.1,-11.7,15.2,Mobility
UE12751,XYZ402,-112.7,-9.8,11.7,IMS
UE12752,XYZ403,-110.9,-15.7,-15.1,Transport
UE12753,XYZ404,-110.8,-13.3,1.8,Core
UE12754,XYZ405,-110.2,-9.7,9.8,Transport
UE12755,XYZ406,-112.7,-12.8,5.9,None
UE12756,XYZ407,-102.2,-10.2,10.4,None
UE12757,XYZ408,-109.9,-9.0,11.3,Core
UE12758,XYZ409,-93.3,-8.3,14.9,None
UE12759,XYZ410,-90.4,-11.7,18.9,None
UE12760,XYZ401,-108.8,-11.3,2.0,Mobility
UE12761,XYZ402,-123.1,-14.0,-5.8,None
UE12762,XYZ403,-115.4,-12.6,0.3,Core
UE12763,XYZ404,-118.8,-9.0,9.7,Radio
UE12764,XYZ405,-101.3,-12.9,3.6,None
UE12765,XYZ406,-103.0,-10.9,11.6,Transport
UE12766,XYZ407,-108.0,-11.9,6.7,Transport
UE12767,XYZ408,-98.9,-10.6,10.2,None
UE12768,XYZ409,-91.0,-5.7,17.9,None
UE12769,XYZ410,-84.5,-8.7,24.2,None
UE12770,XYZ401,-120.4,-10.8,9.7,IMS
UE12771,XYZ402,-111.8,-14.4,-5.2,None
UE12772,XYZ403,-117.9,-11.9,2.6,None
UE12773,XYZ404,-109.3,-8.6,15.0,None
UE12774,XYZ405,-106.4,-12.6,8.9,None
UE12775,XYZ406,-105.0,-12.0,4.3,None
UE12776,XYZ407,-107.7,-12.0,5.6,None
UE12777,XYZ408,-108.0,-10.6,6.8,None
UE12778,XYZ409,-93.6,-8.7,14.4,None
UE12779,XYZ410,-87.3,-6.9,20.2,Radio
UE12780,XYZ401,-128.0,-14.1,-5.1,Mobility
UE12781,XYZ402,-112.9,-15.9,-13.4,Core
UE12782,XYZ403,-114.7,-13.2,-4.5,Mobility
UE12783,XYZ404,-112.6,-14.1,-1.5,None
UE12784,XYZ405,-99.3,-11.6,7.0,Radio
UE12785,XYZ406,-105.3,-15.1,-5.5,IMS
UE12786,XYZ407,-101.2,-9.5,12.3,None
UE12787,XYZ408,-107.2,-13.5,9.4,None
UE12788,XYZ409,-88.2,-8.4,16.7,None
UE12789,XYZ410,-86.6,-7.8,23.5,None
UE12790,XYZ401,-112.3,-13.2,-1.4,Radio
UE12791,XYZ402,-120.6,-13.8,-3.9,None
UE12792,XYZ403,-117.9,-12.1,4.0,None
UE12793,XYZ404,-105.7,-14.4,0.8,Core
UE12794,XYZ405,-109.5,-10.5,13.4,None
UE12795,XYZ406,-110.6,-10.9,12.6,None
UE12796,XYZ407,-101.2,-10.9,14.0,IMS
UE12797,XYZ408,-103.2,-11.1,7.7,None
UE12798,XYZ409,-96.5,-7.9,18.9,None
UE12799,XYZ410,-88.2,-7.9,16.2,None
UE12800,XYZ401,-125.3,-14.6,-11.5,Core
UE12801,XYZ402,-117.4,-13.5,-0.3,None
UE12802,XYZ403,-116.2,-11.8,4.8,None
UE12803,XYZ404,-108.9,-13.9,4.0,IMS
UE12804,XYZ405,-112.2,-13.3,5.9,None
UE12805,XYZ406,-104.1,-11.8,8.7,Core
UE12806,XYZ407,-103.2,-12.3,5.0,None
UE12807,XYZ408,-101.5,-12.3,9.5,Core
UE12808,XYZ409,-89.4,-10.4,17.1,None
UE12809,XYZ410,-89.2,-8.9,21.5,None
UE12810,XYZ401,-120.0,-12.8,3.0,IMS
UE12811,XYZ402,-115.7,-15.2,-6.4,Transport
UE12812,XYZ403,-125.8,-13.8,-0.6,None
UE12813,XYZ404,-112.8,-11.0,0.6,IMS
UE12814,XYZ405,-104.6,-12.0,4.0,None
UE12815,XYZ406,-114.0,-12.5,8.8,None
UE12816,XYZ407,-103.0,-9.6,10.9,None
UE12817,XYZ408,-99.6,-9.9,9.7,None
UE12818,XYZ409,-94.3,-7.7,14.0,None
UE12819,XYZ410,-85.8,-9.4,20.3,None
UE12820,XYZ401,-120.8,-13.2,-0.6,Radio
UE12821,XYZ402,-115.7,-12.9,-3.6,IMS
UE12822,XYZ403,-106.9,-13.1,-7.8,None
UE12823,XYZ404,-117.6,-9.7,15.4,Core
UE12824,XYZ405,-103.6,-13.1,6.9,None
UE12825,XYZ406,-115.2,-13.7,4.9,None
UE12826,XYZ407,-109.7,-11.1,1.1,None
UE12827,XYZ408,-102.8,-11.6,10.8,None
UE12828,XYZ409,-90.3,-9.7,14.4,None
UE12829,XYZ410,-92.5,-8.1,15.4,None
UE12830,XYZ401,-114.2,-14.0,-2.4,Core
UE12831,XYZ402,-113.8,-12.3,-0.9,IMS
UE12832,XYZ403,-104.6,-12.5,-6.6,Core
UE12833,XYZ404,-119.3,-9.6,20.5,None
UE12834,XYZ405,-100.8,-13.5,9.3,Transport
UE12835,XYZ406,-115.8,-10.4,14.4,Transport
UE12836,XYZ407,-104.8,-12.0,-0.7,None
UE12837,XYZ408,-107.8,-10.8,13.3,None
UE12838,XYZ409,-93.2,-11.0,16.1,None
UE12839,XYZ410,-88.0,-9.0,20.0,None
UE12840,XYZ401,-117.0,-12.1,-0.0,Mobility
UE12841,XYZ402,-115.0,-13.4,2.7,IMS
UE12842,XYZ403,-115.4,-13.4,3.0,Core
UE12843,XYZ404,-114.4,-12.6,8.5,Radio
UE12844,XYZ405,-100.6,-10.4,13.9,Mobility
UE12845,XYZ406,-98.7,-12.0,2.1,Transport
UE12846,XYZ407,-104.1,-10.8,1.1,None
UE12847,XYZ408,-101.7,-9.8,13.3,None
UE12848,XYZ409,-91.9,-6.9,18.3,None
UE12849,XYZ410,-89.8,-8.1,17.8,None
UE12850,XYZ401,-120.9,-13.6,-6.2,Mobility
UE12851,XYZ402,-110.3,-13.0,-5.0,Core
UE12852,XYZ403,-115.0,-13.7,-7.0,None
UE12853,XYZ404,-108.1,-10.5,13.4,None
UE12854,XYZ405,-111.5,-9.9,14.8,None
UE12855,XYZ406,-110.1,-8.2,4.0,None
UE12856,XYZ407,-102.8,-11.0,11.5,Transport
UE12857,XYZ408,-105.8,-13.6,2.1,IMS
UE12858,XYZ409,-91.2,-9.0,9.3,None
UE12859,XYZ410,-89.3,-6.4,19.8,None
UE12860,XYZ401,-118.5,-15.8,-7.4,IMS
UE12861,XYZ402,-113.9,-13.7,1.7,None
UE12862,XYZ403,-119.1,-12.7,-5.7,Radio
UE12863,XYZ404,-114.3,-13.5,9.6,Radio
UE12864,XYZ405,-109.4,-13.5,2.0,None
UE12865,XYZ406,-105.8,-13.4,4.4,None
UE12866,XYZ407,-104.5,-10.4,11.0,Radio
UE12867,XYZ408,-104.9,-9.5,12.6,Transport
UE12868,XYZ409,-90.0,-9.0,19.0,None
UE12869,XYZ410,-86.5,-7.1,25.7,None
UE12870,XYZ401,-123.7,-10.7,9.5,Core
UE12871,XYZ402,-122.3,-11.6,7.8,IMS
UE12872,XYZ403,-114.8,-16.3,-10.9,None
UE12873,XYZ404,-111.8,-11.3,6.8,IMS
UE12874,XYZ405,-113.1,-12.3,11.1,None
UE12875,XYZ406,-111.9,-7.2,8.1,None
UE12876,XYZ407,-106.3,-10.9,6.1,None
UE12877,XYZ408,-105.7,-12.0,4.7,None
UE12878,XYZ409,-94.7,-10.7,12.3,None
UE12879,XYZ410,-86.0,-7.9,20.4,Core
UE12880,XYZ401,-114.3,-12.3,-6.0,Mobility
UE12881,XYZ402,-111.8,-14.1,-15.2,IMS
UE12882,XYZ403,-120.1,-14.2,-4.5,None
UE12883,XYZ404,-112.0,-11.9,-0.1,None
UE12884,XYZ405,-110.9,-9.5,16.3,None
UE12885,XYZ406,-102.7,-8.8,14.5,Core
UE12886,XYZ407,-104.3,-9.6,4.3,Transport
UE12887,XYZ408,-102.1,-11.3,-1.7,Transport
UE12888,XYZ409,-91.6,-9.1,12.5,None
UE12889,XYZ410,-87.1,-7.7,17.6,Radio
UE12890,XYZ401,-116.1,-12.2,1.1,Transport
UE12891,XYZ402,-115.7,-12.9,3.8,Mobility
UE12892,XYZ403,-116.0,-15.1,-1.8,None
UE12893,XYZ404,-110.7,-12.1,3.3,None
UE12894,XYZ405,-112.6,-14.5,0.2,None
UE12895,XYZ406,-101.8,-12.7,3.1,None
UE12896,XYZ407,-104.2,-10.7,11.9,Mobility
UE12897,XYZ408,-102.7,-11.9,13.4,None
UE12898,XYZ409,-92.0,-7.9,14.8,None
UE12899,XYZ410,-89.1,-5.9,24.6,None
UE12900,XYZ401,-115.5,-11.6,4.5,Core
UE12901,XYZ402,-114.5,-14.4,-3.2,Radio
UE12902,XYZ403,-122.9,-12.6,6.2,None
UE12903,XYZ404,-117.5,-12.5,2.2,None
UE12904,XYZ405,-113.0,-12.9,7.4,Mobility
UE12905,XYZ406,-114.1,-12.3,2.4,None
UE12906,XYZ407,-103.7,-10.0,8.7,None
UE12907,XYZ408,-105.1,-10.3,11.2,None
UE12908,XYZ409,-88.7,-8.9,21.0,None
UE12909,XYZ410,-86.9,-8.1,16.3,None
UE12910,XYZ401,-120.9,-15.3,-2.7,Mobility
UE12911,XYZ402,-121.0,-15.5,-4.9,None
UE12912,XYZ403,-124.7,-13.2,1.9,None
UE12913,XYZ404,-118.1,-11.3,9.8,None
UE12914,XYZ405,-104.2,-11.9,2.0,None
UE12915,XYZ406,-102.2,-11.0,12.2,None
UE12916,XYZ407,-106.6,-13.4,8.5,None
UE12917,XYZ408,-101.4,-8.7,5.8,None
UE12918,XYZ409,-98.1,-8.9,14.3,None
UE12919,XYZ410,-86.0,-9.3,21.3,None
UE12920,XYZ401,-126.8,-14.2,-12.3,Mobility
UE12921,XYZ402,-111.4,-9.8,2.6,None
UE12922,XYZ403,-109.3,-14.2,-11.6,None
UE12923,XYZ404,-110.0,-12.9,4.1,Transport
UE12924,XYZ405,-109.1,-11.2,9.0,None
UE12925,XYZ406,-106.3,-11.5,10.6,Transport
UE12926,XYZ407,-104.6,-12.7,8.8,None
UE12927,XYZ408,-102.4,-12.5,5.8,Transport
UE12928,XYZ409,-89.6,-8.1,13.7,None
UE12929,XYZ410,-87.5,-11.4,20.7,None
UE12930,XYZ401,-122.1,-10.7,3.9,Mobility
UE12931,XYZ402,-113.1,-12.4,1.8,None
UE12932,XYZ403,-117.5,-14.9,-9.5,None
UE12933,XYZ404,-113.4,-12.3,-10.1,IMS
UE12934,XYZ405,-113.8,-12.4,1.8,None
UE12935,XYZ406,-111.4,-10.9,12.8,None
UE12936,XYZ407,-105.7,-10.1,9.0,Core
UE12937,XYZ408,-102.8,-12.8,4.7,None
UE12938,XYZ409,-91.6,-11.8,14.2,None
UE12939,XYZ410,-88.3,-7.9,19.4,None
UE12940,XYZ401,-106.4,-13.8,7.7,Mobility
UE12941,XYZ402,-119.5,-12.3,2.2,Core
UE12942,XYZ403,-109.3,-11.5,-2.2,None
UE12943,XYZ404,-117.3,-14.0,2.4,Radio
UE12944,XYZ405,-102.2,-13.9,-3.1,Transport
UE12945,XYZ406,-105.3,-13.1,0.4,IMS
UE12946,XYZ407,-104.1,-12.1,7.7,Transport
UE12947,XYZ408,-100.1,-10.8,9.1,None
UE12948,XYZ409,-83.7,-8.1,20.7,None
UE12949,XYZ410,-88.6,-8.1,18.4,None
UE12950,XYZ401,-112.6,-11.3,6.9,Mobility
UE12951,XYZ402,-110.5,-12.0,4.0,IMS
UE12952,XYZ403,-109.1,-15.3,-1.7,None
UE12953,XYZ404,-104.3,-13.1,0.0,IMS
UE12954,XYZ405,-109.3,-11.5,12.4,None
UE12955,XYZ406,-109.9,-12.8,8.5,None
UE12956,XYZ407,-101.7,-10.3,9.6,None
UE12957,XYZ408,-101.7,-10.1,14.9,None
UE12958,XYZ409,-89.4,-10.3,10.9,None
UE12959,XYZ410,-89.9,-5.4,23.7,None
UE12960,XYZ401,-106.6,-12.9,-5.6,Mobility
UE12961,XYZ402,-119.2,-13.5,-10.2,None
UE12962,XYZ403,-112.1,-11.8,-3.9,Radio
UE12963,XYZ404,-109.7,-11.1,7.7,None
UE12964,XYZ405,-106.4,-9.3,17.8,None
UE12965,XYZ406,-101.8,-12.2,3.7,Mobility
UE12966,XYZ407,-106.9,-11.6,3.3,None
UE12967,XYZ408,-102.6,-11.7,7.5,None
UE12968,XYZ409,-91.1,-8.9,18.5,None
UE12969,XYZ410,-87.3,-7.1,23.7,None
UE12970,XYZ401,-117.3,-11.4,11.6,Mobility
UE12971,XYZ402,-116.7,-11.8,19.1,Core
UE12972,XYZ403,-124.7,-14.5,-4.4,None
UE12973,XYZ404,-113.5,-11.7,6.8,None
UE12974,XYZ405,-113.6,-13.4,1.0,IMS
UE12975,XYZ406,-106.7,-9.8,15.6,None
UE12976,XYZ407,-102.3,-9.7,10.4,None
UE12977,XYZ408,-104.7,-9.5,15.6,None
UE12978,XYZ409,-88.7,-7.1,15.8,None
UE12979,XYZ410,-86.0,-8.3,18.0,None
UE12980,XYZ401,-124.6,-11.0,10.9,Transport
UE12981,XYZ402,-112.9,-11.2,5.0,Mobility
UE12982,XYZ403,-119.3,-14.0,-4.7,None
UE12983,XYZ404,-115.7,-12.3,1.8,None
UE12984,XYZ405,-106.9,-10.6,10.1,None
UE12985,XYZ406,-106.1,-12.0,3.1,None
UE12986,XYZ407,-99.7,-10.5,7.1,None
UE12987,XYZ408,-104.8,-9.6,17.3,None
UE12988,XYZ409,-95.1,-9.6,15.8,None
UE12989,XYZ410,-89.8,-7.7,23.3,None
UE12990,XYZ401,-120.0,-11.8,8.3,Mobility
UE12991,XYZ402,-117.5,-15.4,-7.8,None
UE12992,XYZ403,-115.7,-12.9,-3.3,IMS
UE12993,XYZ404,-106.0,-12.5,2.6,IMS
UE12994,XYZ405,-99.6,-9.6,4.2,None
UE12995,XYZ406,-105.7,-9.2,6.8,None
UE12996,XYZ407,-103.3,-12.6,14.7,Mobility
UE12997,XYZ408,-105.4,-11.2,6.4,None
