ue_id,cell_id,rsrp,rsrq,sinr,cause
UE10969,XYZ410,-89.1,-7.6,24.6,None
UE10970,XYZ401,-114.2,-14.5,-5.0,Coverage
UE10971,XYZ402,-118.3,-10.3,3.9,Coverage
UE10972,XYZ403,-116.4,-14.3,6.7,Coverage
UE10973,XYZ404,-110.8,-11.2,9.1,Coverage
UE10974,XYZ405,-109.9,-12.2,9.6,Post_HO
UE10975,XYZ406,-104.9,-11.3,9.8,Post_HO
UE10976,XYZ407,-102.1,-12.9,-0.6,Interference
UE10977,XYZ408,-102.9,-10.9,11.3,Post_HO
UE10978,XYZ409,-96.7,-10.4,15.8,None
UE10979,XYZ410,-87.6,-7.5,18.0,None
UE10980,XYZ401,-120.7,-13.0,-6.2,Coverage
UE10981,XYZ402,-120.9,-13.8,1.8,Coverage
UE10982,XYZ403,-113.4,-13.1,-6.4,Coverage
UE10983,XYZ404,-112.3,-12.3,-3.2,Coverage
UE10984,XYZ405,-114.2,-10.5,13.1,Coverage
UE10985,XYZ406,-114.1,-9.9,0.3,Coverage
UE10986,XYZ407,-106.4,-8.5,9.5,Interference
UE10987,XYZ408,-107.3,-10.1,6.2,Interference
UE10988,XYZ409,-100.8,-8.0,18.4,None
UE10989,XYZ410,-87.6,-9.4,17.4,None
UE10990,XYZ401,-132.0,-14.1,-1.5,Coverage
UE10991,XYZ402,-124.2,-15.6,-1.0,Coverage
UE10992,XYZ403,-110.8,-12.5,-4.5,Interference
UE10993,XYZ404,-113.0,-11.4,7.4,Coverage
UE10994,XYZ405,-114.6,-13.5,4.3,Coverage
UE10995,XYZ406,-105.5,-12.5,8.9,Interference
UE10996,XYZ407,-106.7,-10.0,9.8,Coverage
UE10997,XYZ408,-101.4,-12.5,6.7,Interference
UE10998,XYZ409,-95.4,-6.6,15.4,None
UE10999,XYZ410,-87.8,-6.8,22.6,None
UE11000,XYZ401,-103.5,-11.2,-6.1,Interference
UE11001,XYZ402,-115.5,-11.4,1.0,Coverage
UE11002,XYZ403,-112.7,-12.4,13.9,Coverage
UE11003,XYZ404,-104.1,-10.1,4.6,Post_HO
UE11004,XYZ405,-107.3,-11.3,3.7,Coverage
UE11005,XYZ406,-109.7,-13.8,0.5,Post_HO
UE11006,XYZ407,-104.7,-11.6,13.2,Coverage
UE11007,XYZ408,-101.8,-11.4,11.9,Coverage
UE11008,XYZ409,-89.3,-9.2,12.3,Interference
UE11009,XYZ410,-90.3,-8.3,18.4,None
UE11010,XYZ401,-117.2,-14.8,-17.3,Coverage
UE11011,XYZ402,-109.4,-12.4,2.6,Coverage
UE11012,XYZ403,-122.3,-12.3,4.2,Coverage
UE11013,XYZ404,-116.7,-13.4,-1.7,Coverage
UE11014,XYZ405,-106.8,-10.1,10.9,Interference
UE11015,XYZ406,-101.6,-13.9,2.0,Interference
UE11016,XYZ407,-108.1,-10.6,-2.0,Interference
UE11017,XYZ408,-110.6,-11.9,14.1,Interference
UE11018,XYZ409,-89.7,-8.0,17.5,None
UE11019,XYZ410,-89.5,-8.7,17.6,Post_HO
UE11020,XYZ401,-117.5,-12.3,15.2,Coverage
UE11021,XYZ402,-116.5,-13.1,-3.6,Coverage
UE11022,XYZ403,-111.6,-9.3,4.3,Coverage
UE11023,XYZ404,-107.4,-11.1,5.8,Post_HO
UE11024,XYZ405,-109.6,-10.5,7.7,Interference
UE11025,XYZ406,-107.4,-11.6,8.2,Interference
UE11026,XYZ407,-107.3,-10.1,7.6,Coverage
UE11027,XYZ408,-105.7,-10.1,11.1,Interference
UE11028,XYZ409,-92.6,-8.7,16.1,None
UE11029,XYZ410,-88.8,-9.6,16.0,None
UE11030,XYZ401,-113.5,-13.8,-10.2,Coverage
UE11031,XYZ402,-113.3,-11.5,3.5,Coverage
UE11032,XYZ403,-109.1,-12.2,-6.4,Interference
UE11033,XYZ404,-111.0,-13.1,-3.7,Interference
UE11034,XYZ405,-110.9,-12.4,1.0,Interference
UE11035,XYZ406,-109.0,-10.5,12.5,Post_HO
UE11036,XYZ407,-101.6,-10.6,5.0,Interference
UE11037,XYZ408,-106.4,-12.2,10.5,Coverage
UE11038,XYZ409,-95.3,-8.1,17.0,None
UE11039,XYZ410,-89.5,-6.4,22.5,None
UE11040,XYZ401,-115.8,-12.3,-3.3,Coverage
UE11041,XYZ402,-112.9,-11.6,2.8,Coverage
UE11042,XYZ403,-109.4,-12.0,-2.2,Interference
UE11043,XYZ404,-108.6,-13.6,-1.2,Interference
UE11044,XYZ405,-103.3,-11.5,7.4,Coverage
UE11045,XYZ406,-112.6,-13.1,6.9,Coverage
UE11046,XYZ407,-108.1,-13.2,-0.9,Interference
UE11047,XYZ408,-101.8,-10.1,10.8,Post_HO
UE11048,XYZ409,-86.8,-9.9,12.7,None
UE11049,XYZ410,-87.3,-8.3,20.0,None
UE11050,XYZ401,-114.9,-13.4,-9.0,Coverage
UE11051,XYZ402,-121.5,-11.7,-1.2,Coverage
UE11052,XYZ403,-113.7,-11.7,-5.6,Coverage
UE11053,XYZ404,-114.6,-10.3,10.6,Coverage
UE11054,XYZ405,-106.5,-8.9,16.2,Coverage
UE11055,XYZ406,-95.6,-9.7,15.0,Interference
UE11056,XYZ407,-105.6,-10.5,10.2,Interference
UE11057,XYZ408,-104.9,-10.6,9.7,Coverage
UE11058,XYZ409,-91.3,-9.5,13.5,Post_HO
UE11059,XYZ410,-86.8,-8.2,20.4,None
UE11060,XYZ401,-115.4,-13.7,-9.6,Coverage
UE11061,XYZ402,-117.4,-13.8,-1.4,Coverage
UE11062,XYZ403,-121.8,-15.3,-12.4,Coverage
UE11063,XYZ404,-109.9,-13.7,6.9,Coverage
UE11064,XYZ405,-106.2,-11.8,6.7,Post_HO
UE11065,XYZ406,-103.6,-13.5,5.4,Interference
UE11066,XYZ407,-104.2,-10.1,8.0,Interference
UE11067,XYZ408,-100.7,-10.0,13.5,Interference
UE11068,XYZ409,-95.0,-9.8,16.0,None
UE11069,XYZ410,-88.2,-8.1,18.3,None
UE11070,XYZ401,-119.0,-12.9,-5.9,Coverage
UE11071,XYZ402,-112.6,-11.2,3.4,Coverage
UE11072,XYZ403,-122.6,-13.9,-9.2,Coverage
UE11073,XYZ404,-111.4,-12.0,1.7,Post_HO
UE11074,XYZ405,-104.2,-11.4,2.5,Coverage
UE11075,XYZ406,-107.1,-13.8,4.2,Post_HO
UE11076,XYZ407,-103.5,-11.8,1.0,Coverage
UE11077,XYZ408,-104.9,-9.1,9.5,Coverage
UE11078,XYZ409,-95.0,-11.1,15.7,None
UE11079,XYZ410,-90.8,-9.2,19.4,None
UE11080,XYZ401,-122.7,-10.9,3.4,Coverage
UE11081,XYZ402,-103.8,-15.8,-14.3,Interference
UE11082,XYZ403,-119.8,-12.7,1.7,Coverage
UE11083,XYZ404,-112.9,-9.5,12.1,Coverage
UE11084,XYZ405,-101.5,-9.8,2.9,Post_HO
UE11085,XYZ406,-102.1,-12.5,-1.5,Interference
UE11086,XYZ407,-100.2,-10.5,7.2,Interference
UE11087,XYZ408,-102.6,-11.0,8.1,Interference
UE11088,XYZ409,-91.9,-9.6,13.3,None
UE11089,XYZ410,-88.1,-8.3,18.0,None
UE11090,XYZ401,-104.4,-12.8,-6.1,Interference
UE11091,XYZ402,-120.6,-12.0,4.0,Coverage
UE11092,XYZ403,-114.4,-11.5,7.1,Coverage
UE11093,XYZ404,-108.4,-14.1,-4.0,Interference
UE11094,XYZ405,-112.1,-10.7,16.7,Coverage
UE11095,XYZ406,-108.2,-9.6,6.4,Interference
UE11096,XYZ407,-106.3,-11.3,4.5,Coverage
UE11097,XYZ408,-105.6,-9.4,12.1,Coverage
UE11098,XYZ409,-91.6,-9.7,12.4,None
UE11099,XYZ410,-92.3,-8.1,19.6,None
UE11100,XYZ401,-117.3,-15.6,-13.2,Coverage
UE11101,XYZ402,-111.5,-14.3,-8.5,Interference
UE11102,XYZ403,-103.3,-10.6,10.4,Post_HO
UE11103,XYZ404,-114.9,-10.9,-0.4,Coverage
UE11104,XYZ405,-110.4,-11.8,8.2,Interference
UE11105,XYZ406,-110.2,-10.0,8.6,Post_HO
UE11106,XYZ407,-105.5,-10.8,1.9,Coverage
UE11107,XYZ408,-99.8,-11.8,8.2,Coverage
UE11108,XYZ409,-85.0,-9.0,18.4,None
UE11109,XYZ410,-89.7,-8.0,16.3,None
UE11110,XYZ401,-118.6,-12.6,3.1,Coverage
UE11111,XYZ402,-116.0,-12.6,-6.2,Coverage
UE11112,XYZ403,-105.5,-12.1,-8.5,Interference
UE11113,XYZ404,-111.3,-9.3,8.6,Post_HO
UE11114,XYZ405,-105.2,-10.8,9.1,Interference
UE11115,XYZ406,-103.1,-10.1,11.2,Coverage
UE11116,XYZ407,-103.7,-11.7,7.0,Post_HO
UE11117,XYZ408,-97.3,-9.1,13.1,Interference
UE11118,XYZ409,-93.1,-7.7,14.3,Coverage
UE11119,XYZ410,-87.8,-9.6,13.8,None
UE11120,XYZ401,-110.3,-11.0,-3.1,Interference
UE11121,XYZ402,-115.4,-12.2,-5.2,Coverage
UE11122,XYZ403,-111.9,-12.3,-4.5,Interference
UE11123,XYZ404,-111.6,-10.8,2.1,Post_HO
UE11124,XYZ405,-102.4,-9.9,1.8,Coverage
UE11125,XYZ406,-109.5,-9.2,10.5,Post_HO
UE11126,XYZ407,-99.9,-10.4,7.1,Coverage
UE11127,XYZ408,-102.4,-11.5,11.0,Interference
UE11128,XYZ409,-90.7,-9.7,17.4,None
UE11129,XYZ410,-90.3,-8.0,23.7,None
UE11130,XYZ401,-119.0,-12.8,3.0,Coverage
UE11131,XYZ402,-110.0,-12.2,1.6,Coverage
UE11132,XYZ403,-115.5,-15.7,-14.6,Coverage
UE11133,XYZ404,-112.5,-11.3,3.4,Coverage
UE11134,XYZ405,-111.2,-11.0,3.6,Post_HO
UE11135,XYZ406,-109.9,-10.6,8.0,Post_HO
UE11136,XYZ407,-107.3,-13.7,4.6,Post_HO
UE11137,XYZ408,-97.1,-10.1,3.4,Coverage
UE11138,XYZ409,-88.4,-8.8,19.6,None
UE11139,XYZ410,-88.1,-8.4,23.1,Coverage
UE11140,XYZ401,-116.2,-13.2,-5.3,Coverage
UE11141,XYZ402,-115.3,-15.8,-9.3,Coverage
UE11142,XYZ403,-121.1,-16.3,-8.4,Coverage
UE11143,XYZ404,-106.2,-13.5,-2.4,Interference
UE11144,XYZ405,-110.2,-12.4,6.7,Post_HO
UE11145,XYZ406,-100.8,-11.0,15.3,Coverage
UE11146,XYZ407,-107.6,-10.8,7.2,Interference
UE11147,XYZ408,-101.5,-11.8,12.1,Coverage
UE11148,XYZ409,-94.7,-6.7,20.1,None
UE11149,XYZ410,-88.7,-9.8,23.5,None
UE11150,XYZ401,-122.7,-14.6,-5.6,Coverage
UE11151,XYZ402,-114.3,-12.4,0.9,Coverage
UE11152,XYZ403,-112.3,-13.8,-10.2,Coverage
UE11153,XYZ404,-110.6,-14.0,-3.1,Interference
UE11154,XYZ405,-111.3,-10.5,0.9,Interference
UE11155,XYZ406,-104.5,-10.4,5.4,Interference
UE11156,XYZ407,-103.3,-10.4,8.3,Coverage
UE11157,XYZ408,-103.5,-10.0,12.7,Coverage
UE11158,XYZ409,-92.5,-11.2,13.5,None
UE11159,XYZ410,-89.8,-8.7,17.4,Interference
UE11160,XYZ401,-118.6,-13.6,-14.2,Coverage
UE11161,XYZ402,-119.7,-11.4,1.4,Coverage
UE11162,XYZ403,-114.4,-15.5,-19.7,Coverage
UE11163,XYZ404,-113.7,-12.1,3.2,Coverage
UE11164,XYZ405,-108.1,-9.5,6.9,Coverage
UE11165,XYZ406,-113.1,-8.7,10.3,Coverage
UE11166,XYZ407,-110.4,-11.6,7.3,Interference
UE11167,XYZ408,-103.2,-10.7,9.1,Coverage
UE11168,XYZ409,-95.1,-10.6,15.3,None
UE11169,XYZ410,-89.1,-7.1,26.6,None
UE11170,XYZ401,-118.9,-11.9,2.2,Coverage
UE11171,XYZ402,-119.1,-11.2,0.9,Coverage
UE11172,XYZ403,-111.9,-12.7,1.2,Post_HO
UE11173,XYZ404,-108.3,-12.2,0.7,Coverage
UE11174,XYZ405,-105.5,-12.4,-0.9,Interference
UE11175,XYZ406,-111.8,-10.3,6.8,Post_HO
UE11176,XYZ407,-102.3,-11.8,10.1,Interference
UE11177,XYZ408,-98.6,-9.3,7.5,Post_HO
UE11178,XYZ409,-94.3,-9.6,11.3,None
UE11179,XYZ410,-89.2,-8.2,22.3,None
UE11180,XYZ401,-114.6,-12.9,-5.1,Coverage
UE11181,XYZ402,-117.2,-13.0,1.8,Coverage
UE11182,XYZ403,-113.8,-11.8,-0.7,Coverage
UE11183,XYZ404,-106.6,-11.7,-0.6,Interference
UE11184,XYZ405,-108.3,-14.3,5.4,Coverage
UE11185,XYZ406,-110.0,-12.6,3.6,Post_HO
UE11186,XYZ407,-104.7,-9.8,7.0,Interference
UE11187,XYZ408,-101.8,-10.6,12.2,Coverage
UE11188,XYZ409,-89.1,-8.2,15.6,None
UE11189,XYZ410,-87.7,-7.5,21.7,None
UE11190,XYZ401,-114.4,-13.7,5.6,Coverage
UE11191,XYZ402,-120.0,-14.1,12.8,Coverage
UE11192,XYZ403,-118.6,-12.3,16.6,Coverage
UE11193,XYZ404,-110.8,-11.3,1.6,Interference
UE11194,XYZ405,-107.8,-12.6,0.9,Coverage
UE11195,XYZ406,-112.3,-13.2,2.4,Coverage
UE11196,XYZ407,-106.4,-10.7,13.1,Interference
UE11197,XYZ408,-106.9,-11.9,2.8,Coverage
UE11198,XYZ409,-91.0,-9.1,14.9,None
UE11199,XYZ410,-87.2,-6.7,23.2,None
UE11200,XYZ401,-126.9,-10.9,2.6,Coverage
UE11201,XYZ402,-108.4,-12.1,1.7,Post_HO
UE11202,XYZ403,-119.1,-14.5,-1.0,Coverage
UE11203,XYZ404,-121.7,-13.5,-0.8,Coverage
UE11204,XYZ405,-113.7,-15.7,2.9,Coverage
UE11205,XYZ406,-105.4,-10.3,14.6,Coverage
UE11206,XYZ407,-106.3,-10.1,13.4,Interference
UE11207,XYZ408,-101.5,-11.3,7.7,Coverage
UE11208,XYZ409,-95.2,-9.8,16.7,None
UE11209,XYZ410,-90.8,-10.5,18.2,None
UE11210,XYZ401,-118.0,-16.9,-11.9,Coverage
UE11211,XYZ402,-110.7,-12.2,-4.1,Interference
UE11212,XYZ403,-116.7,-14.6,-7.9,Coverage
UE11213,XYZ404,-111.5,-13.0,-3.7,Interference
UE11214,XYZ405,-111.2,-12.1,6.6,Coverage
UE11215,XYZ406,-103.6,-12.1,8.1,Interference
UE11216,XYZ407,-106.8,-10.9,6.3,Coverage
UE11217,XYZ408,-100.2,-11.9,11.2,Coverage
UE11218,XYZ409,-88.8,-8.4,21.5,None
UE11219,XYZ410,-84.3,-8.7,19.6,None
UE11220,XYZ401,-103.1,-11.3,-10.2,Interference
UE11221,XYZ402,-120.0,-12.2,8.2,Coverage
UE11222,XYZ403,-117.8,-13.3,-1.2,Coverage
UE11223,XYZ404,-110.0,-11.6,4.0,Post_HO
UE11224,XYZ405,-102.5,-11.2,3.8,Interference
UE11225,XYZ406,-108.1,-10.3,10.2,Post_HO
UE11226,XYZ407,-111.2,-10.4,9.7,Coverage
UE11227,XYZ408,-104.9,-11.1,7.3,Post_HO
UE11228,XYZ409,-88.5,-10.4,14.8,None
UE11229,XYZ410,-87.6,-6.7,24.5,Interference
UE11230,XYZ401,-114.3,-12.1,-9.7,Coverage
UE11231,XYZ402,-114.7,-13.1,-0.5,Coverage
UE11232,XYZ403,-115.6,-14.4,1.0,Coverage
UE11233,XYZ404,-112.0,-13.2,-1.3,Coverage
UE11234,XYZ405,-109.4,-15.0,4.5,Coverage
UE11235,XYZ406,-102.2,-12.7,3.7,Post_HO
UE11236,XYZ407,-104.0,-12.9,0.9,Post_HO
UE11237,XYZ408,-105.4,-10.3,4.7,Post_HO
UE11238,XYZ409,-91.8,-9.2,16.1,None
UE11239,XYZ410,-91.5,-8.3,23.9,None
UE11240,XYZ401,-117.0,-11.6,-5.6,Coverage
UE11241,XYZ402,-120.3,-11.6,0.2,Coverage
UE11242,XYZ403,-115.7,-12.6,-4.1,Coverage
UE11243,XYZ404,-110.7,-9.4,7.4,Post_HO
UE11244,XYZ405,-113.1,-11.2,6.7,Coverage
UE11245,XYZ406,-112.3,-12.2,10.3,Coverage
UE11246,XYZ407,-101.6,-8.3,11.1,Coverage
UE11247,XYZ408,-107.0,-11.6,7.7,Coverage
UE11248,XYZ409,-93.7,-9.7,18.6,None
UE11249,XYZ410,-87.6,-9.8,15.8,None
UE11250,XYZ401,-123.4,-13.9,-12.0,Coverage
UE11251,XYZ402,-114.7,-13.7,-6.4,Coverage
UE11252,XYZ403,-114.6,-11.7,8.7,Coverage
UE11253,XYZ404,-116.3,-12.9,-0.5,Coverage
UE11254,XYZ405,-110.5,-11.4,1.0,Post_HO
UE11255,XYZ406,-106.6,-11.6,7.0,Coverage
UE11256,XYZ407,-104.5,-12.7,1.4,Coverage
UE11257,XYZ408,-110.1,-13.4,11.4,Interference
UE11258,XYZ409,-89.1,-10.2,18.2,None
UE11259,XYZ410,-89.6,-7.9,22.2,None
UE11260,XYZ401,-119.7,-12.7,0.1,Coverage
UE11261,XYZ402,-108.1,-9.5,13.6,Post_HO
UE11262,XYZ403,-118.8,-14.1,-3.9,Coverage
UE11263,XYZ404,-105.8,-11.2,3.6,Post_HO
UE11264,XYZ405,-112.4,-12.3,9.0,Coverage
UE11265,XYZ406,-108.5,-13.2,2.5,Interference
UE11266,XYZ407,-104.2,-12.7,11.9,Post_HO
UE11267,XYZ408,-100.5,-10.7,10.8,Coverage
UE11268,XYZ409,-94.8,-10.2,18.2,None
UE11269,XYZ410,-88.6,-11.1,18.6,None
UE11270,XYZ401,-111.8,-15.5,-13.2,Interference
UE11271,XYZ402,-109.5,-13.5,-1.8,Interference
UE11272,XYZ403,-113.6,-11.8,-3.2,Coverage
UE11273,XYZ404,-111.0,-9.4,9.2,Post_HO
UE11274,XYZ405,-109.8,-12.8,1.8,Post_HO
UE11275,XYZ406,-104.9,-8.9,12.4,Post_HO
UE11276,XYZ407,-108.0,-9.5,12.2,Post_HO
UE11277,XYZ408,-105.3,-11.8,6.9,Post_HO
UE11278,XYZ409,-93.0,-9.7,11.9,None
UE11279,XYZ410,-86.1,-10.2,16.2,None
UE11280,XYZ401,-123.2,-12.1,3.6,Coverage
UE11281,XYZ402,-122.1,-12.8,-6.1,Coverage
UE11282,XYZ403,-120.0,-13.2,3.2,Coverage
UE11283,XYZ404,-109.5,-13.7,-5.2,Interference
UE11284,XYZ405,-108.2,-11.8,4.2,Coverage
UE11285,XYZ406,-101.9,-10.3,0.7,Post_HO
UE11286,XYZ407,-94.2,-9.1,2.3,Interference
UE11287,XYZ408,-99.5,-10.7,3.1,Post_HO
UE11288,XYZ409,-93.1,-9.1,16.1,None
UE11289,XYZ410,-86.4,-6.9,24.3,None
UE11290,XYZ401,-125.6,-15.1,-2.4,Coverage
UE11291,XYZ402,-114.8,-15.3,-3.9,Coverage
UE11292,XYZ403,-119.0,-10.7,8.7,Coverage
UE11293,XYZ404,-103.4,-14.2,-3.9,Interference
UE11294,XYZ405,-102.5,-15.3,-5.9,Interference
UE11295,XYZ406,-110.0,-13.2,7.3,Post_HO
UE11296,XYZ407,-104.2,-13.3,12.5,Coverage
UE11297,XYZ408,-101.3,-10.0,13.0,Post_HO
UE11298,XYZ409,-94.4,-9.4,14.5,None
UE11299,XYZ410,-87.9,-11.3,19.2,None
UE11300,XYZ401,-110.7,-12.1,4.0,Interference
UE11301,XYZ402,-113.8,-11.6,8.4,Coverage
UE11302,XYZ403,-110.9,-13.0,0.9,Coverage
UE11303,XYZ404,-112.2,-12.9,1.3,Coverage
UE11304,XYZ405,-105.2,-11.8,5.8,Coverage
UE11305,XYZ406,-103.4,-9.5,11.8,Interference
UE11306,XYZ407,-106.0,-12.5,5.1,Post_HO
UE11307,XYZ408,-104.9,-11.9,6.1,Coverage
UE11308,XYZ409,-93.1,-7.9,12.0,None
UE11309,XYZ410,-89.4,-7.4,20.8,None
UE11310,XYZ401,-123.7,-15.4,1.1,Coverage
UE11311,XYZ402,-114.4,-13.3,-4.0,Coverage
UE11312,XYZ403,-126.9,-13.8,-16.5,Coverage
UE11313,XYZ404,-113.1,-14.0,4.4,Coverage
UE11314,XYZ405,-105.3,-11.6,6.5,Post_HO
UE11315,XYZ406,-106.0,-10.9,17.0,Coverage
UE11316,XYZ407,-106.3,-13.0,8.9,Coverage
UE11317,XYZ408,-97.4,-8.8,15.6,Post_HO
UE11318,XYZ409,-91.7,-10.8,16.8,None
UE11319,XYZ410,-84.2,-6.7,24.3,None
UE11320,XYZ401,-115.1,-13.7,-1.5,Coverage
UE11321,XYZ402,-108.4,-12.6,-0.8,Interference
UE11322,XYZ403,-114.7,-11.9,6.5,Coverage
UE11323,XYZ404,-112.4,-10.3,7.6,Coverage
UE11324,XYZ405,-112.6,-11.9,2.1,Coverage
UE11325,XYZ406,-114.7,-13.1,2.0,Coverage
UE11326,XYZ407,-107.2,-10.1,8.2,Coverage
UE11327,XYZ408,-107.5,-11.6,7.7,Coverage
UE11328,XYZ409,-94.8,-9.5,11.6,None
UE11329,XYZ410,-87.5,-7.3,16.2,None
UE11330,XYZ401,-120.0,-13.5,-2.8,Coverage
UE11331,XYZ402,-122.0,-16.2,-4.4,Coverage
UE11332,XYZ403,-112.5,-13.8,-2.3,Coverage
UE11333,XYZ404,-110.5,-11.2,6.7,Post_HO
UE11334,XYZ405,-111.5,-11.6,4.3,Post_HO
UE11335,XYZ406,-104.4,-10.3,9.8,Interference
UE11336,XYZ407,-104.6,-11.1,12.9,Post_HO
UE11337,XYZ408,-103.6,-8.6,16.7,Coverage
UE11338,XYZ409,-94.3,-7.2,12.8,None
UE11339,XYZ410,-86.1,-6.8,18.4,None
UE11340,XYZ401,-116.2,-14.1,-0.4,Coverage
UE11341,XYZ402,-108.5,-12.5,-3.6,Interference
UE11342,XYZ403,-114.1,-11.9,-4.1,Coverage
UE11343,XYZ404,-109.2,-12.1,-2.6,Interference
UE11344,XYZ405,-110.2,-12.2,12.0,Interference
UE11345,XYZ406,-104.8,-8.4,7.0,Post_HO
UE11346,XYZ407,-110.4,-10.9,10.0,Coverage
UE11347,XYZ408,-102.1,-10.6,8.8,Post_HO
UE11348,XYZ409,-97.6,-9.9,17.9,None
UE11349,XYZ410,-89.8,-7.8,20.3,None
UE11350,XYZ401,-116.1,-10.0,11.9,Coverage
UE11351,XYZ402,-114.6,-12.8,-7.3,Coverage
UE11352,XYZ403,-125.2,-10.8,5.8,Coverage
UE11353,XYZ404,-118.7,-11.2,7.3,Coverage
UE11354,XYZ405,-111.7,-11.9,6.8,Coverage
UE11355,XYZ406,-104.3,-12.6,-3.1,Interference
UE11356,XYZ407,-103.2,-8.7,13.4,Post_HO
UE11357,XYZ408,-103.9,-9.0,16.7,Post_HO
UE11358,XYZ409,-85.9,-9.5,13.7,None
UE11359,XYZ410,-88.0,-9.4,14.8,None
UE11360,XYZ401,-116.2,-12.2,8.7,Coverage
UE11361,XYZ402,-121.2,-10.9,14.0,Coverage
UE11362,XYZ403,-118.5,-13.8,6.3,Coverage
UE11363,XYZ404,-106.9,-9.9,9.8,Post_HO
UE11364,XYZ405,-104.7,-10.8,1.5,Coverage
UE11365,XYZ406,-112.2,-11.0,8.4,Coverage
UE11366,XYZ407,-101.9,-10.4,-1.3,Interference
UE11367,XYZ408,-99.1,-10.9,7.8,Interference
UE11368,XYZ409,-92.2,-9.5,15.5,None
UE11369,XYZ410,-91.1,-9.2,23.3,None
UE11370,XYZ401,-116.8,-13.8,-12.5,Coverage
UE11371,XYZ402,-121.3,-9.3,14.8,Coverage
UE11372,XYZ403,-132.1,-13.5,-4.8,Coverage
UE11373,XYZ404,-110.7,-12.8,3.1,Interference
UE11374,XYZ405,-104.7,-13.6,4.2,Interference
UE11375,XYZ406,-103.5,-14.1,-0.3,Interference
UE11376,XYZ407,-103.1,-10.0,6.7,Coverage
UE11377,XYZ408,-107.4,-10.7,12.6,Coverage
UE11378,XYZ409,-94.3,-8.1,18.8,None
UE11379,XYZ410,-86.3,-5.8,19.1,None
UE11380,XYZ401,-125.4,-15.8,-18.8,Coverage
UE11381,XYZ402,-114.9,-13.7,-2.7,Coverage
UE11382,XYZ403,-118.8,-11.2,6.5,Coverage
UE11383,XYZ404,-113.8,-12.3,5.6,Coverage
UE11384,XYZ405,-110.3,-13.4,4.3,Post_HO
UE11385,XYZ406,-107.1,-12.1,6.9,Interference
UE11386,XYZ407,-102.6,-10.2,4.8,Interference
UE11387,XYZ408,-104.6,-10.6,12.6,Post_HO
UE11388,XYZ409,-90.1,-8.0,22.6,Interference
UE11389,XYZ410,-87.4,-7.6,19.8,None
UE11390,XYZ401,-119.7,-12.2,-2.6,Coverage
UE11391,XYZ402,-109.5,-10.1,5.2,Coverage
UE11392,XYZ403,-115.5,-12.5,6.7,Coverage
UE11393,XYZ404,-104.3,-8.7,14.0,Post_HO
UE11394,XYZ405,-107.1,-11.0,8.7,Coverage
UE11395,XYZ406,-110.7,-10.9,6.2,Interference
UE11396,XYZ407,-109.1,-11.8,7.4,Coverage
UE11397,XYZ408,-110.2,-10.2,13.3,Interference
UE11398,XYZ409,-95.3,-12.8,13.2,Interference
UE11399,XYZ410,-87.9,-8.6,19.1,None
UE11400,XYZ401,-123.2,-14.2,-19.1,Coverage
UE11401,XYZ402,-108.9,-10.1,6.2,Post_HO
UE11402,XYZ403,-114.8,-12.4,5.7,Coverage
UE11403,XYZ404,-109.9,-10.7,-3.0,Interference
UE11404,XYZ405,-107.9,-11.4,4.7,Interference
UE11405,XYZ406,-103.4,-10.8,4.0,Interference
UE11406,XYZ407,-116.6,-9.7,9.1,Coverage
UE11407,XYZ408,-98.9,-10.7,7.6,Interference
UE11408,XYZ409,-90.9,-8.9,16.1,None
UE11409,XYZ410,-88.1,-10.0,19.7,None
UE11410,XYZ401,-105.6,-13.8,-5.9,Interference
UE11411,XYZ402,-109.2,-15.0,-10.7,Interference
UE11412,XYZ403,-106.4,-10.0,5.1,Post_HO
UE11413,XYZ404,-110.5,-12.7,9.3,Post_HO
UE11414,XYZ405,-113.1,-11.4,-0.5,Coverage
UE11415,XYZ406,-110.9,-12.2,2.5,Interference
UE11416,XYZ407,-101.8,-10.8,10.0,Interference
UE11417,XYZ408,-102.8,-11.3,13.0,Coverage
UE11418,XYZ409,-93.3,-10.3,13.2,None
UE11419,XYZ410,-91.3,-8.2,24.3,None
UE11420,XYZ401,-115.7,-15.5,-19.6,Coverage
UE11421,XYZ402,-118.9,-13.7,-13.1,Coverage
UE11422,XYZ403,-123.7,-13.3,3.5,Coverage
UE11423,XYZ404,-109.3,-9.7,7.0,Post_HO
UE11424,XYZ405,-107.9,-13.7,3.2,Interference
UE11425,XYZ406,-100.7,-11.4,5.5,Interference
UE11426,XYZ407,-104.8,-11.4,10.8,Post_HO
UE11427,XYZ408,-101.5,-13.1,5.5,Interference
UE11428,XYZ409,-90.1,-10.7,16.6,None
UE11429,XYZ410,-90.3,-10.2,18.1,Interference
UE11430,XYZ401,-123.8,-11.5,11.6,Coverage
UE11431,XYZ402,-109.5,-9.8,4.6,Post_HO
UE11432,XYZ403,-117.8,-12.7,-2.5,Coverage
UE11433,XYZ404,-109.7,-12.1,1.6,Post_HO
UE11434,XYZ405,-108.8,-9.1,15.6,Coverage
UE11435,XYZ406,-107.5,-11.0,9.5,Interference
UE11436,XYZ407,-108.3,-9.9,10.9,Post_HO
UE11437,XYZ408,-102.4,-12.2,5.8,Coverage
UE11438,XYZ409,-90.2,-10.7,12.0,None
UE11439,XYZ410,-87.1,-4.5,25.1,None
