ue_id,cell_id,msg_failure
UE10770,XYZ403,MSG1
UE10845,XYZ409,SUCCESS
UE10912,XYZ410,SUCCESS
UE10497,XYZ405,MSG2
UE10171,XYZ406,MSG2
UE10085,XYZ403,MSG3
UE10557,XYZ410,MSG3
UE10857,XYZ407,MSG2
UE10185,XYZ409,MSG1
UE10155,XYZ409,MSG2
UE10492,XYZ410,MSG3
UE10909,XYZ410,MSG4
UE10520,XYZ405,SUCCESS
UE10626,XYZ407,MSG4
UE10665,XYZ403,MSG4
UE10129,XYZ406,SUCCESS
UE10842,XYZ408,MSG2
UE10080,XYZ408,MSG1
UE10383,XYZ402,MSG4
UE10801,XYZ406,MSG1
UE10658,XYZ407,MSG3
UE10294,XYZ407,MSG4
UE10977,XYZ403,MSG3
UE10268,XYZ409,MSG2
UE10644,XYZ402,MSG4
UE10561,XYZ403,MSG3
UE10534,XYZ402,MSG3
UE10377,XYZ409,MSG2
UE10375,XYZ404,MSG1
UE10087,XYZ402,MSG1
UE10924,XYZ403,MSG4
UE10623,XYZ404,MSG2
UE10110,XYZ410,MSG4
UE10583,XYZ406,MSG1
UE10153,XYZ405,MSG2
UE10462,XYZ403,SUCCESS
UE10568,XYZ410,MSG2
UE10768,XYZ408,MSG2
UE10155,XYZ408,SUCCESS
UE10624,XYZ407,MSG3
UE10317,XYZ403,MSG3
UE10558,XYZ401,MSG3
UE10237,XYZ405,MSG1
UE10333,XYZ401,MSG2
UE10105,XYZ406,SUCCESS
UE10481,XYZ407,MSG1
UE10698,XYZ405,SUCCESS
UE10670,XYZ404,MSG1
UE10709,XYZ402,MSG1
UE10381,XYZ405,MSG1
UE10688,XYZ409,SUCCESS
UE10260,XYZ404,MSG4
UE10798,XYZ402,MSG1
UE10292,XYZ406,MSG3
UE10334,XYZ408,MSG2
UE10654,XYZ402,MSG4
UE10819,XYZ409,MSG4
UE10708,XYZ407,SUCCESS
UE10475,XYZ402,MSG4
UE10224,XYZ405,SUCCESS
UE10906,XYZ405,SUCCESS
UE10554,XYZ407,MSG3
UE10453,XYZ405,MSG1
UE10662,XYZ406,MSG4
UE10295,XYZ409,MSG1
UE10574,XYZ403,MSG1
UE10641,XYZ403,MSG1
UE10766,XYZ408,SUCCESS
UE10462,XYZ410,MSG1
UE10854,XYZ406,MSG4
UE10213,XYZ410,SUCCESS
UE10584,XYZ403,MSG4
UE10942,XYZ402,SUCCESS
UE10615,XYZ402,MSG2
UE10157,XYZ402,MSG2
UE10271,XYZ405,MSG2
UE10826,XYZ405,MSG2
UE10237,XYZ401,SUCCESS
UE10302,XYZ402,MSG1
UE10883,XYZ402,MSG3
UE10669,XYZ404,MSG3
UE10620,XYZ407,MSG2
UE10520,XYZ403,MSG1
UE10320,XYZ405,MSG4
UE10058,XYZ409,MSG1
UE10357,XYZ405,MSG4
UE10703,XYZ409,MSG3
UE10647,XYZ401,MSG1
UE10250,XYZ409,MSG1
UE10890,XYZ405,MSG3
UE10435,XYZ408,MSG1
UE10145,XYZ405,MSG4
UE10858,XYZ406,MSG1
UE10977,XYZ408,MSG4
UE10351,XYZ402,MSG2
UE10569,XYZ403,MSG1
UE10688,XYZ409,MSG4
UE10799,XYZ405,MSG3
UE10244,XYZ405,MSG2
UE10559,XYZ409,MSG1
UE10300,XYZ410,MSG4
UE10437,XYZ403,MSG1
UE10867,XYZ404,MSG4
UE10099,XYZ407,MSG1
UE10724,XYZ402,MSG2
UE10813,XYZ408,MSG2
UE10479,XYZ405,MSG1
UE10414,XYZ401,MSG1
UE10164,XYZ403,SUCCESS
UE10911,XYZ409,MSG1
UE10941,XYZ405,MSG1
UE10637,XYZ408,MSG2
UE10301,XYZ401,MSG1
UE10973,XYZ407,MSG3
UE10120,XYZ407,MSG1
UE10087,XYZ408,SUCCESS
UE10216,XYZ403,MSG4
UE10572,XYZ401,MSG2
UE10813,XYZ409,MSG3
UE10178,XYZ401,MSG4
UE10701,XYZ406,MSG3
UE10162,XYZ409,MSG2
UE10592,XYZ402,SUCCESS
UE10169,XYZ404,MSG2
UE10300,XYZ402,MSG3
UE10373,XYZ404,MSG3
UE10707,XYZ402,MSG2
UE10202,XYZ401,MSG1
UE10046,XYZ403,MSG2
UE10462,XYZ408,SUCCESS
UE10669,XYZ405,MSG2
UE10407,XYZ404,MSG4
UE10193,XYZ405,MSG1
UE10426,XYZ406,MSG4
UE10929,XYZ406,MSG2
UE10790,XYZ405,MSG1
UE10316,XYZ406,MSG4
UE10478,XYZ409,MSG4
UE10420,XYZ405,MSG1
UE10268,XYZ406,MSG1
UE10480,XYZ404,MSG3
UE10710,XYZ403,MSG1
UE10735,XYZ406,MSG2
UE10262,XYZ405,SUCCESS
UE10425,XYZ404,MSG3
UE10165,XYZ405,MSG1
UE10691,XYZ407,SUCCESS
UE10427,XYZ401,MSG3
UE10703,XYZ401,MSG2
UE10396,XYZ401,SUCCESS
